"Density","Momentum:0","Momentum:1","Momentum:2","StagnationEnergy","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
1.0075,2.9761,-0.00012325,0.01101,6.1859,0.21207,-0.0025773,-0.068267,-0.13028,0.00064004,-0.0030564,-0.00044737,-0.99526,0.097279,-1.4713,0.42497,2.0054
1.0206,2.9922,0.00093067,0.0094666,6.2415,0.30855,0.0012102,0.039917,0.097146,0.00056641,0.00153,-0.00044681,-0.99526,0.097205,-1.1842,0.4249,2.0065
1.0068,2.9786,-0.0018551,0.011828,6.1863,0.3953,-0.0097968,-0.034783,0.031301,0.00021419,-0.0096508,-0.00044585,-0.9953,0.096855,-0.92461,0.42508,2.0073
1.0258,3.0107,0.012219,0.013481,6.3102,0.47684,0.011577,-0.018685,0.40533,0.00036364,0.013316,0.001724,-0.99528,0.097014,-0.68171,0.42507,2.0084
1.0357,3.026,0.012995,0.01867,6.2878,0.51139,-0.0096301,-0.23007,-0.50822,0.00035608,-0.013753,0.022368,-0.99502,0.097124,-0.57772,0.42553,2.009
1.9116,3.4278,0.50381,0.030767,9.9817,0.58368,-0.1568,-0.2215,7.3479,-0.0045545,-0.12209,0.1332,-0.9867,0.093165,-0.35932,0.43467,2.0106
2.6493,3.3554,1.0689,0.048262,13.527,0.60527,-0.19821,-0.88582,6.5939,-0.0098366,-0.36734,0.2901,-0.95279,0.089614,-0.28656,0.45157,2.0115
3.1418,3.3152,1.4885,0.064592,15.909,0.62083,-0.1928,-1.0592,5.8457,-0.016631,-0.50574,0.40919,-0.9085,0.084847,-0.23539,0.47114,2.0123
3.4824,3.2464,1.9519,0.071439,17.579,0.63841,0.48607,-0.40493,5.8493,-0.01828,0.31817,0.50264,-0.86029,0.085153,-0.1789,0.50084,2.0135
3.5961,3.3442,2.3239,0.078021,18.342,0.65378,0.4713,-0.45304,3.6307,-0.014312,0.19802,0.56178,-0.82233,0.090406,-0.13009,0.53258,2.0146
3.5283,3.4514,2.5696,0.099609,18.279,0.6686,0.12165,-1.01,0.78665,-0.016455,-0.48725,0.58829,-0.80375,0.088861,-0.081169,0.56793,2.0159
3.3123,3.52,2.6192,0.12633,17.272,0.68312,0.015628,-1.1746,-3.1394,-0.025648,-0.77873,0.59022,-0.8033,0.079749,-0.031129,0.60536,2.0175
3.1524,3.5952,2.5572,0.14289,16.441,0.69938,-0.22718,-0.88643,-2.7981,-0.03839,-0.78913,0.57733,-0.8138,0.066521,0.026507,0.64735,2.0197
3.0518,3.6474,2.4896,0.14468,15.964,0.71221,-0.3022,-0.90288,-3.3318,-0.049015,-0.8673,0.55048,-0.83305,0.05483,0.072944,0.67971,2.0215
2.7765,3.8027,2.2109,0.14972,14.632,0.74358,-0.10181,-0.64476,-5.2522,-0.071883,-0.59051,0.51057,-0.8593,0.030371,0.19009,0.75362,2.0262
2.6389,3.8149,2.0614,0.1478,13.982,0.75622,-0.065621,-0.4811,-5.5183,-0.07861,-0.47426,0.46869,-0.88309,0.021998,0.23855,0.78083,2.0281
2.3926,3.8227,1.7934,0.14045,12.829,0.77961,0.018701,-0.42852,-4.9006,-0.087994,-0.3279,0.42903,-0.90322,0.011118,0.32919,0.82637,2.0315
2.2176,3.7738,1.6137,0.13654,12.007,0.79698,0.1272,-0.53896,-4.9268,-0.093089,-0.25871,0.38848,-0.92145,0.0045447,0.3961,0.85642,2.0339
1.9953,3.6792,1.3497,0.13693,10.937,0.82103,0.3034,-0.58296,-6.2172,-0.0978,-0.13309,0.34725,-0.93777,-0.0016782,0.4879,0.89268,2.0373
1.8323,3.5825,1.1712,0.13685,10.171,0.84599,0.054318,-0.53024,-5.4563,-0.10334,-0.31104,0.31169,-0.95015,-0.008557,0.58031,0.92465,2.0407
1.7092,3.4959,1.0158,0.13155,9.5821,0.86609,-0.062364,-0.3054,-4.8956,-0.1097,-0.3218,0.28043,-0.95974,-0.016108,0.65267,0.94705,2.0435
